,dataset,edges,types,bytes,degree,schemex-summarization-ratio,schemexVHI,schemex-compression,instances,schemexschema-computation,schemexupdate,schemexincremental,schemexbatch,schemexspeed-up,schemex:changes,schemex:updates,schemex:change-update-ratio,attribute-summarization-ratio,attributeVHI,attribute-compression,attributeschema-computation,attributeupdate,attributeincremental,attributebatch,attributespeed-up,attribute:changes,attribute:updates,attribute:change-update-ratio,type-summarization-ratio,typeVHI,type-compression,typeschema-computation,typeupdate,typeincremental,typebatch,typespeed-up,type:changes,type:updates,type:change-update-ratio
0,LUBM,11096695,2308688,113341389,6.7243670016421575,6433.814925373134,45199685.0,0.3987924040705024,2155328.0,99282.0,445274.0,1911739.0,1964942.0,1.0278296357400252,2155328.0,287.0,7483.777777777777,74321.6551724138,44600260.0,0.3935037358682802,93426.0,452322.0,1958101.0,1997191.0,1.0199632194662074,2155328.0,28.0,74321.6551724138,40666.56603773585,44601072.0,0.39351090006493566,91296.0,286483.0,1747804.0,1810321.0,1.0357688848406343,2155328.0,53.0,39913.48148148148
1,LUBM,10971370,2285287,112199571,6.722140375933358,6370.91124260355,45620382.0,0.40660032470177626,2153368.0,103351.0,460959.0,1908891.0,1950899.0,1.0220064948705818,698251.0,139.0,4987.507142857143,82821.84615384616,44573381.0,0.3972687293073518,97544.0,432468.0,1923734.0,1984758.0,1.0317216413495838,277696.0,5.0,46282.666666666664,41410.92307692308,44452058.0,0.396187415012487,86738.0,283538.0,1728500.0,1798127.0,1.0402817471796355,133216.0,13.0,9515.42857142857
2,LUBM,10956090,2282653,112119291,6.720665877810986,6372.83284457478,45787050.0,0.4083779837673073,2173136.0,99175.0,446380.0,1905569.0,1984513.0,1.0414280459012506,777969.0,109.0,7072.445454545455,80486.51851851853,44728028.0,0.39893249057381214,96675.0,461740.0,1962265.0,2031310.0,1.0351863790058937,320252.0,3.0,80063.0,40243.25925925926,44578564.0,0.3975994104350874,89074.0,301528.0,1762553.0,1798543.0,1.020419244130531,162211.0,6.0,23173.0
3,LUBM,11074551,2302963,113368625,6.723470507810537,6239.345821325648,45492927.0,0.401283220996991,2165053.0,106023.0,437796.0,1904362.0,1963485.0,1.031046093127252,708085.0,134.0,5245.074074074074,83271.26923076923,44403547.0,0.3916740367981,103460.0,433709.0,1951584.0,2006186.0,1.0279782986538115,285106.0,5.0,47517.666666666664,39364.6,44263304.0,0.3904369837774781,89766.0,299694.0,1754082.0,1797228.0,1.0245974817596897,139544.0,9.0,13954.4
4,LUBM,11017277,2294578,112795019,6.7200809292837045,6357.523391812865,45407655.0,0.4025679094925282,2174273.0,99883.0,444164.0,1909382.0,1975671.0,1.0347175159292379,688473.0,119.0,5737.275,77652.60714285714,44393088.0,0.3935731240047045,102621.0,447244.0,1977651.0,2038666.0,1.0308522585633157,278704.0,4.0,55740.8,41024.018867924526,44251960.0,0.3923219340031318,95995.0,291634.0,1749196.0,1841167.0,1.0525790134438908,136981.0,8.0,15220.111111111111
5,LUBM,11080388,2304562,113401669,6.7233548608674285,6583.091185410334,44948299.0,0.39636364611176933,2165837.0,103353.0,444522.0,1914987.0,1961016.0,1.0240361945015815,767752.0,124.0,6142.016,80216.18518518518,43949807.0,0.3875587316091441,98686.0,444947.0,1954576.0,2041437.0,1.044439817126579,310187.0,1.0,155093.5,40864.84905660377,43748128.0,0.38578028335720527,94866.0,289477.0,1747477.0,1830735.0,1.047644690030255,151552.0,6.0,21650.285714285714
6,LUBM,11029340,2295906,112930313,6.722780557261944,6588.954407294833,44944638.0,0.3979855966572943,2167766.0,97819.0,449551.0,1912143.0,1973915.0,1.0323051152555014,699374.0,129.0,5379.8,74750.55172413793,43878236.0,0.3885425873210854,102958.0,432433.0,1954046.0,2021678.0,1.0346112629897146,278753.0,4.0,55750.6,42505.21568627451,43694053.0,0.3869116434663561,97212.0,281761.0,1732259.0,1825745.0,1.0539676803526494,133459.0,10.0,12132.636363636364
7,LUBM,11041157,2297877,113027786,6.7232441855966725,6219.771676300578,44499677.0,0.39370564154906124,2152041.0,99231.0,446645.0,1902793.0,1957382.0,1.0286888799780112,707701.0,117.0,5997.466101694915,76858.60714285714,43415633.0,0.38411469017007904,103781.0,447810.0,1959264.0,2008996.0,1.0253830009636271,290016.0,1.0,145008.0,39128.01818181818,43276958.0,0.3828877794704392,95579.0,284940.0,1735307.0,1827169.0,1.0529370307386532,145978.0,8.0,16219.777777777777
8,LUBM,10941826,2281311,112008778,6.717887227092858,6624.530487804878,44699840.0,0.399074436826728,2172846.0,99230.0,441551.0,1895651.0,1986637.0,1.0479972315579187,741943.0,130.0,5663.687022900764,77601.64285714286,43632182.0,0.38954252317617466,100616.0,449226.0,1969493.0,2035432.0,1.0334801900793757,307109.0,2.0,102369.66666666667,45267.625,43508089.0,0.38843463679248424,89501.0,292202.0,1750552.0,1821880.0,1.0407460046888066,156488.0,7.0,19561.0
9,LUBM,11065049,2302913,113261164,6.7223890408229385,6465.270833333333,44457315.0,0.39252037882994034,2172331.0,101718.0,442242.0,1916826.0,1965903.0,1.0256032628939715,762440.0,128.0,5910.387596899225,77583.25,43424776.0,0.3834039353506909,100808.0,460027.0,1978207.0,2040761.0,1.0316215643762254,303867.0,2.0,101289.0,43446.62,43234178.0,0.38172111669274383,93026.0,284649.0,1749400.0,1839624.0,1.051574254029953,143565.0,12.0,11043.461538461539
0,BSBM,67622,7928,2211932,6.5741784950417985,19.033766233766233,152009.0,0.06872227536832054,7328.0,987.0,4349.0,20373.0,17997.0,0.8833750552201443,7328.0,362.0,20.18732782369146,149.55102040816325,139523.0,0.06307743637688681,894.0,3618.0,19064.0,16561.0,0.8687054133445237,7328.0,48.0,149.55102040816325,318.60869565217394,123326.0,0.055754878540569965,969.0,2179.0,18125.0,16162.0,0.891696551724138,7328.0,23.0,305.3333333333333
1,BSBM,649327,75978,21023798,7.383288513909122,27.039777247414477,1564230.0,0.07440282673948827,67978.0,3784.0,65582.0,178848.0,174989.0,0.9784230184290571,66850.0,2760.0,24.21224194132561,1359.56,1369729.0,0.06515135847481031,3612.0,23204.0,129857.0,130190.0,1.0025643592567208,60718.0,1.0,30359.0,659.9805825242719,1345502.0,0.06399899770726489,4291.0,16126.0,141719.0,128015.0,0.9033016038780968,60850.0,112.0,538.4955752212389
2,BSBM,1288794,148777,41406662,7.6458838221291945,35.406933333333335,3125115.0,0.07547372449389908,132776.0,7128.0,205843.0,414432.0,336989.0,0.8131346035055208,126800.0,6012.0,21.087643439215036,2655.52,2722234.0,0.06574386508142095,6645.0,46718.0,244747.0,252692.0,1.0324620935088071,65487.0,0.0,65487.0,983.5259259259259,2690388.0,0.06497476179074758,6384.0,31787.0,240796.0,250772.0,1.041429259622253,66798.0,224.0,296.88
3,BSBM,1936770,224092,62369214,7.686617070126169,28.494730845912844,4880694.0,0.07825485823823272,200090.0,11540.0,504915.0,811857.0,630353.0,0.7764335344771308,191298.0,10260.0,18.643212162557255,4001.8,4131062.0,0.0662355950164772,11566.0,70353.0,366264.0,372148.0,1.0160649149247538,68703.0,0.0,68703.0,760.7984790874525,4065861.0,0.06519019143002187,9865.0,46266.0,352740.0,366549.0,1.0391478142541248,71288.0,380.0,187.10761154855643
4,BSBM,2567969,295186,82387202,7.825034623453803,34.57475039411455,6316985.0,0.07667434803769643,263183.0,13967.0,142212.0,549701.0,768838.0,1.3986476284380054,242204.0,741.0,326.42048517520215,5160.450980392156,5439859.0,0.06602796147877434,15281.0,81445.0,471164.0,491729.0,1.0436472226231206,63095.0,1.0,31547.5,996.905303030303,5394740.0,0.06548031574127254,14983.0,69507.0,480929.0,491418.0,1.0218098721432893,63095.0,1.0,31547.5
5,BSBM,3198518,366255,102367027,7.922212411190096,40.72487829234802,7781228.0,0.07601303103195524,326247.0,21932.0,158027.0,667345.0,914794.0,1.3707962148513888,302084.0,526.0,573.214421252372,6273.9807692307695,6743021.0,0.06587102505184604,20773.0,101304.0,570657.0,595193.0,1.042996055423836,63068.0,1.0,31534.0,1231.120754716981,6678491.0,0.06524064628740268,19379.0,91227.0,598155.0,598333.0,1.000297581730488,63066.0,1.0,31533.0
6,BSBM,3829244,437334,122441687,7.9997242370558785,46.686772994363835,9307577.0,0.07601640607908318,389321.0,23125.0,198460.0,795049.0,1081841.0,1.3607224208822348,361579.0,464.0,777.589247311828,7345.679245283019,8048555.0,0.06573378068533146,24750.0,123422.0,703032.0,711226.0,1.0116552304873747,63076.0,1.0,31538.0,1469.1358490566038,7980350.0,0.06517674001012416,26230.0,96481.0,703749.0,715583.0,1.0168156544449796,63076.0,0.0,63076.0
7,BSBM,4459938,508419,142516687,8.065913536184054,52.34316788152262,10648668.0,0.07471874504071233,452402.0,27769.0,201929.0,909988.0,1246158.0,1.3694224539224693,421371.0,413.0,1017.804347826087,8225.49090909091,9332759.0,0.06548537716148285,26185.0,145457.0,814123.0,842186.0,1.0344702213301922,63089.0,2.0,21029.666666666668,1700.7593984962407,9256175.0,0.0649480085093474,21765.0,126069.0,833877.0,824673.0,0.9889624009296335,63089.0,1.0,31544.5
8,BSBM,5090583,579497,162615460,8.124582346138961,57.59463687150838,12113574.0,0.0744921423830182,515472.0,34068.0,231374.0,1025261.0,1439371.0,1.403906907606941,481100.0,479.0,1002.2916666666666,8887.448275862069,10621865.0,0.06531891248224492,31675.0,164810.0,935111.0,945297.0,1.0108928244882158,63076.0,3.0,15769.0,1937.8646616541353,10523555.0,0.0647143574171853,30527.0,132486.0,945514.0,932876.0,0.9866337251484378,63076.0,0.0,63076.0
9,BSBM,5721236,650591,182748437,8.177253708090275,62.84531827069303,13574056.0,0.07427727548772414,578554.0,32631.0,249948.0,1138436.0,1549749.0,1.3612965507064076,540868.0,447.0,1207.294642857143,9642.566666666668,11916384.0,0.06520648928997407,39538.0,181619.0,1045313.0,1056916.0,1.0111000245859374,63092.0,2.0,21030.666666666668,2166.868913857678,11809410.0,0.06462112723842338,28840.0,147071.0,1038816.0,1059636.0,1.0200420478698826,63088.0,1.0,31544.0
10,BSBM,6351905,721666,202827668,8.226742623569631,68.301043219076,15209361.0,0.07498661868951725,641620.0,36122.0,298355.0,1257151.0,1692762.0,1.3465065055828616,600104.0,452.0,1324.7328918322296,10348.709677419354,13165599.0,0.06491027151187283,37824.0,201618.0,1151508.0,1200195.0,1.0422810783772236,63074.0,2.0,21024.666666666668,2403.071161048689,12997684.0,0.06408240122348594,36772.0,147270.0,1168991.0,1197863.0,1.0246982226552643,63074.0,0.0,63074.0
11,BSBM,7019120,801547,224828392,8.19144237058713,43.38110293670578,17807276.0,0.07920385784727758,713489.0,44418.0,2418404.0,3518174.0,2613217.0,0.7427765084956003,691803.0,24770.0,27.92793992975657,11148.265625,14564626.0,0.06478107978462079,46377.0,222624.0,1281540.0,1307662.0,1.0203832888555957,78963.0,2.0,26321.0,1359.0266666666666,14404890.0,0.06407060012242582,41338.0,163709.0,1287898.0,1322216.0,1.026646520143676,91817.0,768.0,119.39791937581275
12,BSBM,7649993,872628,244949788,8.241169148266737,46.14439360627488,18813462.0,0.076805381844217,776564.0,55905.0,373454.0,1588599.0,2759563.0,1.737104832622959,721348.0,856.0,841.7129521586932,12133.8125,15900503.0,0.06491331603030413,49876.0,246089.0,1377142.0,1389389.0,1.0088930553276279,63083.0,0.0,63083.0,1479.1695238095238,15691507.0,0.06406009626756648,46131.0,177712.0,1368609.0,1433368.0,1.047317385754441,63083.0,0.0,63083.0
13,BSBM,8281004,943689,265054801,8.288065431748379,48.95137593283582,20293197.0,0.07656226909845712,839614.0,53949.0,421382.0,1716804.0,2959808.0,1.7240220782337412,781529.0,880.0,887.0930760499432,12721.424242424242,17131828.0,0.06463504126454211,53525.0,266474.0,1498746.0,1529599.0,1.0205858764593867,63062.0,2.0,21020.666666666668,1596.2243346007604,16908539.0,0.06379261547501643,57139.0,197646.0,1535004.0,1564255.0,1.0190559764013645,63062.0,1.0,31531.0
14,BSBM,8912007,1014780,285171660,8.331867404492833,51.59135851860319,21775176.0,0.07635813460566172,902694.0,69909.0,422058.0,1829693.0,3110947.0,1.7002562725003594,841107.0,937.0,896.7025586353944,13274.911764705883,18368834.0,0.06441325200407362,56060.0,284815.0,1620892.0,1617629.0,0.9979869109107825,63098.0,2.0,21032.666666666668,1709.6477272727273,18149382.0,0.06364370849473612,52378.0,210162.0,1640602.0,1673554.0,1.020085310148348,63098.0,2.0,21032.666666666668
15,BSBM,9542609,1085875,305308785,8.373978438951937,54.14419465156697,23238244.0,0.0761139054678692,965770.0,63066.0,457474.0,1926615.0,3298825.0,1.71223882301342,901284.0,1018.0,884.4789008832189,13413.472222222223,19630048.0,0.06429571949591951,51648.0,302790.0,1729484.0,1771806.0,1.0244708826447657,63096.0,4.0,12619.2,1825.6521739130435,19378956.0,0.06347329966283152,55385.0,226473.0,1760208.0,1775418.0,1.0086410242425896,63096.0,1.0,31548.0
16,BSBM,10200532,1161891,326549766,8.387060755740912,47.94874768089054,25703846.0,0.07871341117420981,1033775.0,70748.0,2789804.0,4403192.0,3927187.0,0.8918954703769447,996947.0,21799.0,45.73151376146789,14161.301369863013,20974032.0,0.06422920541918258,57019.0,353427.0,1875116.0,1854539.0,0.9890262789075449,78530.0,5.0,13088.333333333334,1568.7025796661608,20671116.0,0.06330157958220678,61435.0,252490.0,1893271.0,1900255.0,1.0036888538407867,98026.0,590.0,165.86463620981388
17,BSBM,10832314,1232975,346597851,8.427432395583516,50.04786457382734,26597688.0,0.07673933327416967,1096849.0,72131.0,546947.0,2227088.0,4178115.0,1.8760439641361275,1021498.0,1324.0,770.9418867924528,14624.653333333334,22202301.0,0.06405781494588667,65349.0,343578.0,1937872.0,2016448.0,1.0405475697053264,63090.0,2.0,21030.0,1659.3782148260211,21930713.0,0.06327423247641543,68044.0,258920.0,1991261.0,2066040.0,1.0375535904133109,63090.0,2.0,21030.0
18,BSBM,11463566,1304064,366728270,8.466888588692257,52.246475383991715,28129539.0,0.07670403756983338,1159924.0,78661.0,627172.0,2421521.0,4354961.0,1.7984403191217422,1080950.0,1402.0,770.4561653599429,15262.157894736842,23467125.0,0.06399049901443377,66525.0,376873.0,2103798.0,2141769.0,1.0180487860526533,63087.0,1.0,31543.5,1752.1510574018127,23161620.0,0.06315744352078448,75442.0,274588.0,2105547.0,2170493.0,1.0308451912970833,63087.0,1.0,31543.5
19,BSBM,12095155,1375161,386855088,8.505187605719907,54.177283600602465,29625883.0,0.0765813451056381,1222998.0,81410.0,630530.0,2484408.0,4532149.0,1.8242370013298943,1141301.0,1527.0,746.9247382198953,15480.987341772152,24672230.0,0.06377641335300209,72344.0,384678.0,2175859.0,2257953.0,1.0377294668450483,63100.0,3.0,15775.0,1836.3333333333333,24377548.0,0.06301467592433475,72680.0,282669.0,2215451.0,2257133.0,1.0188142278931016,63100.0,4.0,12620.0
20,BSBM,12726519,1446253,406981790,8.541402569161804,56.21654937273244,31110253.0,0.07644138820068583,1286066.0,92742.0,666398.0,2653238.0,4913164.0,1.8517615080139813,1200844.0,1666.0,720.3623275344931,15877.358024691359,25839610.0,0.06349082596545659,85479.0,404210.0,2309440.0,2362430.0,1.0229449563530553,63097.0,4.0,12619.4,1928.134932533733,25482561.0,0.06261351644259071,86354.0,296141.0,2322524.0,2378187.0,1.0239665984075945,63097.0,3.0,15774.25
21,BSBM,12095155,1375161,386855088,8.505187605719907,54.177283600602465,29305120.0,0.07575218966746536,1222998.0,74241.0,577121.0,2455984.0,4533348.0,1.845837757900703,1200820.0,1666.0,720.3479304139172,15480.987341772152,24519885.0,0.06338260956257605,75435.0,382385.0,2188725.0,2243204.0,1.024890746896024,63083.0,4.0,12616.6,1836.3333333333333,24161586.0,0.062456425544026965,76891.0,287528.0,2235573.0,2259474.0,1.0106912187613646,63083.0,3.0,15770.75
22,BSBM,11463566,1304064,366728270,8.466888588692257,52.246475383991715,27856389.0,0.07595920816249045,1159924.0,83769.0,569846.0,2369821.0,4331400.0,1.8277329806765996,1141280.0,1527.0,746.9109947643979,15262.157894736842,23369228.0,0.06372355204576947,80265.0,359441.0,2072650.0,2132139.0,1.0287019033604323,63087.0,3.0,15771.75,1752.1510574018127,23038940.0,0.06282291790594709,69526.0,270412.0,2098776.0,2136822.0,1.018127708721655,63087.0,4.0,12617.4
23,BSBM,10832314,1232975,346597851,8.427432395583516,50.04786457382734,26356884.0,0.07604456843559598,1096849.0,65484.0,503634.0,2194502.0,4161210.0,1.896197861747221,1080936.0,1402.0,770.4461867426942,14624.653333333334,22109959.0,0.06379139090507517,71766.0,348979.0,1943400.0,2005162.0,1.0317803848924565,63081.0,1.0,31540.5,1659.3782148260211,21838484.0,0.06300813446186082,60761.0,289450.0,2024496.0,2007946.0,0.9918251258584853,63081.0,1.0,31540.5
24,BSBM,10200532,1161891,326549766,8.387060755740912,47.94874768089054,24823658.0,0.07601799353302859,1033775.0,73788.0,465321.0,2081193.0,3999632.0,1.9217977381242393,1021488.0,1324.0,770.9343396226415,14161.301369863013,20882200.0,0.06394798641503237,57345.0,324611.0,1850088.0,1892764.0,1.02306701086651,63082.0,2.0,21027.333333333332,1568.7025796661608,20618063.0,0.06313911429965624,62501.0,236853.0,1863313.0,1911701.0,1.0259687985861743,63082.0,2.0,21027.333333333332
25,BSBM,9542609,1085875,305308785,8.373978438951937,54.14115932279404,23806074.0,0.07797376023752477,965770.0,55495.0,2381048.0,3876802.0,3179989.0,0.8202608748138285,996938.0,21799.0,45.73110091743119,13413.472222222223,19524427.0,0.0639497713765426,54783.0,315963.0,1749025.0,1777029.0,1.0160112062434785,78522.0,5.0,13087.0,1825.6521739130435,19237851.0,0.06301112822547834,54182.0,239737.0,1755698.0,1769739.0,1.0079973890726082,98018.0,590.0,165.85109983079525
26,BSBM,8912007,1014780,285171660,8.331867404492833,51.588410104011885,21639432.0,0.07588212657597182,902694.0,50263.0,397375.0,1778154.0,3128597.0,1.7594634660439985,901267.0,1018.0,884.4622178606477,13274.911764705883,18302061.0,0.06417910180836342,55920.0,283750.0,1613245.0,1632169.0,1.0117303943294416,63086.0,4.0,12617.2,1709.6477272727273,18050390.0,0.0632965772265028,53006.0,208228.0,1635416.0,1677355.0,1.0256442397530658,63086.0,1.0,31543.0
27,BSBM,8281004,943689,265054801,8.288065431748379,48.95137593283582,20123382.0,0.07592159026766696,839614.0,52519.0,362355.0,1675694.0,2937759.0,1.7531595864161356,841096.0,937.0,896.6908315565032,12721.424242424242,17033144.0,0.06426272580514397,52727.0,265308.0,1505500.0,1555781.0,1.0333982065758884,63089.0,2.0,21029.666666666668,1596.2243346007604,16851982.0,0.06357923695937882,43705.0,214948.0,1526205.0,1545925.0,1.0129209378818704,63089.0,2.0,21029.666666666668
28,BSBM,7649993,872628,244949788,8.241169148266737,46.14439360627488,18449381.0,0.07531903232347358,776564.0,49038.0,346189.0,1545877.0,2752137.0,1.7803078770173824,781518.0,880.0,887.0805902383655,12133.8125,15779036.0,0.06441743072665979,47772.0,247692.0,1408948.0,1447291.0,1.0272139213086644,63056.0,2.0,21018.666666666668,1479.1695238095238,15579141.0,0.06360136551740964,44941.0,177889.0,1400807.0,1448670.0,1.0341681616382556,63056.0,1.0,31528.0
29,BSBM,7019120,801547,224828392,8.19144237058713,43.38110293670578,17195937.0,0.07648472173389916,713489.0,45121.0,327987.0,1421709.0,2566250.0,1.805045898984954,721342.0,856.0,841.705950991832,11148.265625,14542487.0,0.06468260912527453,41005.0,236860.0,1282755.0,1313744.0,1.024158159586203,63079.0,0.0,63079.0,1359.0266666666666,14353819.0,0.06384344464821863,39742.0,165993.0,1294708.0,1296351.0,1.0012690120088854,63079.0,0.0,63079.0
30,BSBM,6351905,721666,202827668,8.226742623569631,68.301043219076,15588194.0,0.07685437669184265,641620.0,44145.0,1896008.0,2895214.0,1671501.0,0.5773324527996894,691791.0,24770.0,27.927455492309555,10348.709677419354,13083669.0,0.06450633253841877,35162.0,202008.0,1164587.0,1188671.0,1.0206802926702772,78956.0,2.0,26318.666666666668,2403.071161048689,12896138.0,0.06358174960627166,38922.0,150616.0,1159154.0,1185966.0,1.0231306625349177,91811.0,768.0,119.39011703511053
31,BSBM,5721236,650591,182748437,8.177253708090275,62.84531827069303,13503178.0,0.07388943085734845,578554.0,35488.0,242037.0,1123528.0,1533902.0,1.3652548045086548,600095.0,452.0,1324.7130242825608,9642.566666666668,11810955.0,0.06462958148309635,36156.0,192228.0,1053881.0,1044133.0,0.9907503788378385,63070.0,2.0,21023.333333333332,2166.868913857678,11664625.0,0.06382886328051057,29321.0,148938.0,1062195.0,1073765.0,1.0108925385640113,63070.0,0.0,63070.0
32,BSBM,5090583,579497,162615460,8.124582346138961,57.59463687150838,12040091.0,0.07404026037868724,515472.0,36009.0,213763.0,1013315.0,1399802.0,1.3814085452203906,540856.0,447.0,1207.267857142857,8887.448275862069,10576841.0,0.06504203843841169,28855.0,164412.0,930996.0,960852.0,1.0320688810693064,63087.0,2.0,21029.0,1937.8646616541353,10433590.0,0.06416111973609397,28294.0,133889.0,949011.0,962673.0,1.0143960396665581,63085.0,1.0,31542.5
33,BSBM,4459938,508419,142516687,8.065913536184054,52.34316788152262,10555295.0,0.07406357263974288,452402.0,27885.0,188076.0,891508.0,1243700.0,1.3950519793428662,481093.0,479.0,1002.2770833333333,8225.49090909091,9258655.0,0.06496540998037655,26600.0,141519.0,800803.0,835625.0,1.0434838530824684,63073.0,3.0,15768.25,1700.7593984962407,9158261.0,0.06426097317291694,25686.0,104749.0,804699.0,840845.0,1.044918659026543,63073.0,0.0,63073.0
34,BSBM,3829244,437334,122441687,7.9997242370558785,46.686772994363835,9094980.0,0.07428009383764861,389321.0,21218.0,171127.0,768295.0,1092459.0,1.4219264735550798,421367.0,413.0,1017.7946859903382,7345.679245283019,7971762.0,0.06510660049955046,19257.0,126984.0,697037.0,714419.0,1.0249369832591384,63085.0,2.0,21028.333333333332,1469.1358490566038,7900200.0,0.06452214269148382,20579.0,96876.0,703178.0,713124.0,1.0141443560520949,63085.0,1.0,31542.5
35,BSBM,3198518,366255,102367027,7.922212411190096,40.72487829234802,7636427.0,0.07459850328563318,326247.0,16158.0,140898.0,630886.0,900933.0,1.4280440523327511,361574.0,464.0,777.578494623656,6273.9807692307695,6708317.0,0.06553200963822071,16784.0,106665.0,589228.0,598447.0,1.0156458959859342,63075.0,1.0,31537.5,1231.120754716981,6618255.0,0.06465221462375771,18484.0,76337.0,581232.0,599102.0,1.0307450381259118,63075.0,0.0,63075.0
36,BSBM,2567969,295186,82387202,7.825034623453803,34.57475039411455,6157345.0,0.07473666844517915,263183.0,14412.0,105950.0,502439.0,782201.0,1.5568078911071792,302081.0,526.0,573.2087286527515,5160.450980392156,5384791.0,0.06535955669425453,13406.0,82892.0,464414.0,489984.0,1.055058633030012,63066.0,1.0,31533.0,996.905303030303,5334419.0,0.06474815105384936,13711.0,59827.0,473884.0,484153.0,1.0216698601345477,63065.0,1.0,31532.5
37,BSBM,1936770,224092,62369214,7.686617070126169,28.494730845912844,4679451.0,0.07502821824883027,200090.0,12076.0,90865.0,390346.0,598557.0,1.533401136427682,242203.0,741.0,326.4191374663073,4001.8,4083273.0,0.06546936762743234,10379.0,60763.0,347670.0,365461.0,1.0511720884747031,63094.0,1.0,31547.0,760.7984790874525,4049581.0,0.0649291652128244,11105.0,46788.0,358589.0,356907.0,0.9953093932050342,63094.0,1.0,31547.0
38,BSBM,1288794,148777,41406662,7.6458838221291945,35.406933333333335,3125435.0,0.07548145271888856,132776.0,7195.0,432455.0,633762.0,322832.0,0.5093899602689969,191297.0,10260.0,18.64311470616899,2655.52,2684175.0,0.06482471347243592,6714.0,46271.0,233167.0,242124.0,1.0384145269270524,68703.0,0.0,68703.0,983.5259259259259,2653113.0,0.0640745443329868,6384.0,29422.0,235017.0,243015.0,1.0340315806941625,71288.0,380.0,187.10761154855643
39,BSBM,649327,75978,21023798,7.383288513909122,27.039777247414477,1571330.0,0.07474053926887997,67978.0,3373.0,232013.0,336949.0,162596.0,0.48255373958670306,126799.0,6012.0,21.087477132878764,1359.56,1351219.0,0.06427092764114267,3559.0,21738.0,115981.0,123909.0,1.0683560238314895,65487.0,0.0,65487.0,659.9805825242719,1340346.0,0.06375375181972354,3870.0,18603.0,120452.0,122673.0,1.0184388802178461,66798.0,224.0,296.88
40,BSBM,67622,7928,2211932,6.5741784950417985,19.033766233766233,158478.0,0.07164686798690013,7328.0,387.0,28212.0,38836.0,14895.0,0.3835358945308477,66850.0,2760.0,24.21224194132561,149.55102040816325,135660.0,0.06133099932547655,434.0,2574.0,14573.0,14900.0,1.02243875660468,60718.0,1.0,30359.0,318.60869565217394,131003.0,0.05922560006365476,390.0,1708.0,12788.0,14748.0,1.153268689396309,60850.0,112.0,538.4955752212389
1,DyLDO-core,9653266,1054148,170365210,3.536530681611429,27.988601593176558,100724015.0,0.591224082663356,3228961.0,48639.0,279215.0,1402113.0,3465182.0,2.4713999513591274,213313.0,1300.0,163.9607993850884,163.60767126064044,97752958.0,0.5737847416147933,45175.0,252057.0,1353140.0,3642321.0,2.6917547334348257,209098.0,423.0,493.1556603773585,536.1941215543009,94414041.0,0.5541861569037482,49297.0,190417.0,1288757.0,8621541.0,6.689811190162303,207929.0,155.0,1332.878205128205
